 kelezatan | lezat 
 berlezat | lezat 
 melezatkan | lezat 
 kelincahan | lincah 
 pengampunan | ampun 
 pengampun | ampun 
 ampunan | ampun 
 terampuni | ampun 
 mengampunkan | ampun 
 mengampuni | ampun 
 ampuni | ampun 
 mengantepi | antep 
 berantun | antun 
 memicikkan | picik 
 kepicikan | picik 
 perpisahan | pisah 
 memisahkan | pisah 
 berpisah | pisah 
 memisah | pisah 
 terpisah | pisah 
 terpisahkan | pisah 
 pemisah | pisah 
 pemisahan | pisah 
 berpongah-pongah | pongah 
 memongahkan | pongah 
 kepongahan | pongah 
 berprihatin | prihatin 
 memprihatinkan | prihatin 
 pematahan | patah 
 patahan | patah 
 berpayah-payah | payah 
 memayahkan | payah 
 memayahmayahkan | payah 
 kepayahan | payah 
 memedihkan | pedih 
 kepedihan | pedih 
 kepelikan | pelik 
 pelikan | pelik 
 kepelitan | pelit 
 memenatkan | penat 
 kepenatan | penat 
 berpenat-penat | penat 
 memenjarakan | penjara 
 kepenjaraan | penjara 
 terpenjara | penjara 
 berperang | perang 
 memerangi | perang 
 peperangan | perang 
 perlahan-lahan | perlahan 
 berkarya | karya 
 terkaya | kaya 
 kekayaan | kaya 
 memperkaya | kaya 
 memperkencang | kencang 
 pengencangan | kencang 
 kekencangan | kencang 
 mengencangkan | kencang 
 penekat | nekat 
 menerakakan | neraka 
 menihilkan | nihil 
 mengogah | ogah 
 memaksakan | paksa 
 terpaksa | paksa 
 keterpaksaan | paksa 
 paksaan | paksa 
 pemaksaan | paksa 
 memaksa | paksa 
 memantati | pantat 
 memperparah | parah 
 pemecatan | pecat 
 memecat | pecat 
 memecatkan | pecat 
 kepeningan | pening 
 memeningkan | pening 
 memilukan | pilu 
 kepiluan | pilu 
 kepilu-piluan | pilu 
 berpilu | pilu 
 terprovokasi | provokasi 
 perindu | rindu 
 kerinduan | rindu 
 diringankan | ringan 
 meringankan | ringan 
 peringan | ringan 
 keringanan | ringan 
 mengesalkan | kesal 
 kekesalan | kesal 
 mengorup | korup 
 kekotoran | kotor 
 mengotori | kotor 
 mengotorkan | kotor 
 pengotoran | kotor 
 pengotor | kotor 
 kotoran | kotor 
 kekritisan | kritis 
 mengkritis | kritis 
 mengufurkan | kufur 
 kekufuran | kufur 
 berkusut-kusut | kusut 
 mengusut | kusut 
 mengusutkan | kusut 
 kekusutan | kusut 
 melacur | lacur 
 melacurkan | lacur 
 pelacur | lacur 
 pelacuran | lacur 
 berlagak | lagak 
 melagak | lagak 
 melagakkan | lagak 
 pelagak | lagak 
 berlalai-lalai | lalai 
 melalaikan | lalai 
 terlalai | lalai 
 terlalaikan | lalai 
